,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3259,1,0,0,0,0,0
CD4+ T cells,0,3240,17,0,2,43,18
MAIT cells,0,9,2350,0,0,25,28
Myeloid cells,0,0,0,3319,1,0,0
NK cells,0,1,0,0,3247,12,33
TRAV1-2- CD8+ T cells,0,78,24,0,10,3112,91
gd T cells,0,29,34,0,35,94,2625
