,pancreatic A cell,pancreatic D cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,type B pancreatic cell
pancreatic A cell,496,0,0,0,0,0
pancreatic D cell,0,81,0,0,0,2
pancreatic acinar cell,0,0,90,0,0,1
pancreatic ductal cell,0,0,0,148,0,0
pancreatic stellate cell,1,0,0,0,68,0
type B pancreatic cell,1,0,0,0,0,749
