,pancreatic A cell,pancreatic D cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,type B pancreatic cell
pancreatic A cell,496,0,0,0,0,0
pancreatic D cell,0,82,0,0,0,1
pancreatic acinar cell,0,0,90,0,0,1
pancreatic ductal cell,1,0,0,147,0,0
pancreatic stellate cell,0,0,0,0,69,0
type B pancreatic cell,1,2,0,0,0,747
