scheme,representation,macro_f1,accuracy,n_cells_used,n_classes_used
random,hvg,0.5089454168345243,0.766607617360496,11289,40
random,scvi,0.5083654049982133,0.7595217006200177,11289,40
random,harmony,0.4803958107527269,0.7537643932683791,11289,40
random,pca,0.45552321669559703,0.7723649247121346,11289,40
