,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,370,1168,0,793,140,777,0
CD4+ T cells,378,1190,0,833,149,750,0
MAIT cells,258,850,0,622,141,625,0
Myeloid cells,359,1147,0,776,213,805,0
NK cells,2,0,0,2,3278,18,0
TRAV1-2- CD8+ T cells,365,1185,0,848,143,759,0
gd T cells,291,906,0,676,136,710,0
