,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3194,0,0,0,0,0,0
CD4+ T cells,0,3180,21,0,1,74,24
MAIT cells,0,16,2370,0,1,41,43
Myeloid cells,2,0,1,3297,0,0,0
NK cells,0,2,1,0,3254,3,40
TRAV1-2- CD8+ T cells,0,192,24,0,20,2872,167
gd T cells,0,56,58,0,46,164,2551
