,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3191,1,0,2,0,0,0
CD4+ T cells,0,3128,31,0,1,112,28
MAIT cells,0,15,2360,0,2,49,45
Myeloid cells,2,0,0,3298,0,0,0
NK cells,0,2,2,0,3256,5,35
TRAV1-2- CD8+ T cells,0,192,29,0,18,2851,185
gd T cells,0,57,70,0,56,150,2542
