,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,687,678,103,668,222,682,289
CD4+ T cells,658,693,122,651,220,791,265
MAIT cells,487,430,78,395,201,440,182
Myeloid cells,667,754,123,654,234,722,246
NK cells,7,1,5,12,3230,6,3
TRAV1-2- CD8+ T cells,676,656,141,673,206,760,288
gd T cells,560,578,102,515,228,587,237
