,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3298,2,0,0,0,0,0
CD4+ T cells,0,3071,26,0,0,143,60
MAIT cells,0,16,2012,0,1,30,28
Myeloid cells,1,0,0,3299,0,0,0
NK cells,1,0,2,0,3222,12,63
TRAV1-2- CD8+ T cells,0,160,23,0,10,2954,153
gd T cells,0,68,61,0,63,341,2243
