,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,613,634,81,618,334,678,268
CD4+ T cells,594,677,85,687,340,645,272
MAIT cells,535,510,76,553,321,575,224
Myeloid cells,639,696,92,619,400,617,237
NK cells,9,9,7,18,3245,4,8
TRAV1-2- CD8+ T cells,614,645,89,618,349,714,271
gd T cells,552,562,76,554,338,565,261
