,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,363,1242,0,626,64,1004,1
CD4+ T cells,364,1283,0,581,51,1016,5
MAIT cells,192,840,0,394,58,600,3
Myeloid cells,397,1213,0,595,75,1017,3
NK cells,4,0,0,4,3227,65,0
TRAV1-2- CD8+ T cells,338,1269,0,597,60,1035,1
gd T cells,302,1075,0,477,52,868,2
