fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,harmony,0.9414838149453217,0.9433365424288268,86869,21813,7,132,34,None,0
2,harmony,0.9490002629759179,0.9507455107787471,87019,21663,7,133,33,None,0
3,harmony,0.9359830914745154,0.9379768759069419,87319,21363,7,133,33,None,0
4,harmony,0.94876170732541,0.9498503338705964,86967,21715,7,133,33,None,0
5,harmony,0.9531346770017711,0.9540401301518439,86554,22128,7,133,33,None,0
