,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3226,0,0,0,0,0,0
CD4+ T cells,0,3183,31,0,0,60,26
MAIT cells,0,20,2701,0,1,31,41
Myeloid cells,2,0,0,3298,0,0,0
NK cells,0,0,1,0,3233,2,64
TRAV1-2- CD8+ T cells,0,141,19,0,9,2984,147
gd T cells,0,59,45,0,18,216,2570
