,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3242,4,0,2,0,0,0
CD4+ T cells,0,3215,25,0,0,38,22
MAIT cells,0,15,2413,0,0,27,41
Myeloid cells,0,1,0,3299,0,0,0
NK cells,0,0,3,0,3270,2,25
TRAV1-2- CD8+ T cells,0,202,31,0,5,2842,220
gd T cells,0,52,74,0,35,147,2411
