,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,683,749,123,682,58,740,265
CD4+ T cells,682,718,110,693,47,798,252
MAIT cells,398,474,67,473,54,495,126
Myeloid cells,684,689,118,668,66,809,266
NK cells,12,8,5,13,3236,11,15
TRAV1-2- CD8+ T cells,700,742,104,671,58,761,264
gd T cells,600,624,73,570,44,642,223
