,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3246,0,0,1,0,0,1
CD4+ T cells,0,3245,15,0,0,25,15
MAIT cells,0,7,2431,0,2,24,32
Myeloid cells,0,0,0,3298,2,0,0
NK cells,0,0,2,0,3272,5,21
TRAV1-2- CD8+ T cells,1,96,36,0,11,3056,100
gd T cells,0,22,49,0,26,80,2542
