fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,hvg,0.2531493165055612,0.29060651904827395,86869,21813,7,132,34,None,0
2,hvg,0.26226937754860263,0.29280339749803813,87019,21663,7,133,33,None,0
3,hvg,0.2685615685813027,0.2975237560267753,87319,21363,7,133,33,None,0
4,hvg,0.27292226250814927,0.294727147133318,86967,21715,7,133,33,None,0
5,hvg,0.2382645074833433,0.28041395516992046,86554,22128,7,133,33,None,0
