,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,466,896,0,648,376,840,0
CD4+ T cells,481,894,0,640,377,908,0
MAIT cells,446,678,0,556,354,760,0
Myeloid cells,469,899,0,659,437,836,0
NK cells,10,1,0,21,3246,22,0
TRAV1-2- CD8+ T cells,520,893,0,663,398,826,0
gd T cells,460,705,0,595,374,774,0
